study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,51.964882140663,63.210254356088,1,396,395,13.903303805886,"RealEye v15.18.3; FixationFilterSettings [gazePointInterpolationHz = 30; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 150; minFixationDurationMs = 80; maxFixationDurationMs = 400; movingMediaRangeMs = 200; saccadeMaxDurationMs = 150]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderNotSpecified=true;exposureNumber=;qualityMin=1;qualityMax=6;isParticipantTypeRealEye=true;isParticipantTypeNonRealEye=true;isDeviceDesktop=true;isDeviceSmartphone=true;isDeviceTablet=true;isSetupLocal=true;isSetupMouse=true;isSetupOpengaze=true]; 2023-11-25T08:20:05+00:00"
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,41.043526785714,42.539983164983,414,573,159,7.8979688951921,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,37.341889880952,27.835648148148,603,759,156,7.6245180095171,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,42.900933159722,39.84375,791,920,129,34.965656719098,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,74.721696127946,-3.5891320613543,1012,1394,382,4.2950255485794,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,76.579861111111,-11.703142536476,1525,1925,400,16.56035233289,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,70.004312094156,-43.394510582011,1956,2353,397,9.9165952361166,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,75.391329590548,-25.578202661536,2448,2824,376,7.2834800121159,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,74.807736455464,-10.758149678604,2857,3134,277,12.243589991544,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,72.873263888889,-35.493827160494,3163,3254,91,26.855318667353,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,42.566287878788,-45.374515355576,3378,3652,274,,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,75.032552083333,0.20404942279942,3971,4342,371,10.667608843921,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,72.339531128594,21.429843304843,4375,4749,374,,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,69.062415449134,24.599667308001,4905,5301,396,3.9148891130397,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,67.643229166667,32.175925925926,5333,5430,97,12.746050758648,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,79.785945391414,46.664562289562,5463,5850,387,26.342750173285,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,108.24792286706,64.74408436214,5950,6158,208,34.062168037232,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,97.6953125,-2.1527777777778,6222,6373,151,32.710850257737,
bcfa9991-20d2-4b05-8fa7-1a45d3a9b087,bbb32d96-2afa-40db-aa54-3b244dbf9692,here.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_bcfa9991-20d2-4b05-8fa7-1a45d3a9b087/project_lg_bbb32d96-2afa-40db-aa54-3b244dbf9692.jpg?v=15.18.3,d788420a-2853-4118-b122-fbd70896fc73,,"cbkdsj , Female",,3,3,1,1,62.484975961538,-25.249287749288,6465,6858,393,2.3329073479912,
